Schedule End Date_x,Schedule Start Date_x,Platform_x,Ad Type_x,Lifetime Budget_x,Campaign ID,Campaign Name_x,Clicks,Day,Impressions,Platform ID_x,Promoted Brand ID_x,Promoted Class Name_x,Promoted Class Number_x,Promoted Dept Name_x,Promoted Dept Number_x,Promoted OMSID Description_x,Promoted OMSID Number_x,Promoted PVendor Number_x,Promoted Reporting Brand_x,SPA ROAS,SPA Sales_x,Spend,index_x,Promoted OMSID,Schedule End Date_y,Schedule Start Date_y,Platform_y,Ad Type_y,Lifetime Budget_y,Campaign Name_y,Customer Type,Platform ID_y,Promoted Brand ID_y,Promoted Class Name_y,Promoted Class Number_y,Promoted Dept Name_y,Promoted Dept Number_y,Promoted OMSID Description_y,Promoted OMSID Number_y,Promoted PVendor Number_y,Promoted Reporting Brand_y,Purchased Class Name,Purchased Class Number,Purchased Dept Name,Purchased Dept Number,Purchased OMSID Description,Purchased OMSID Number,Purchased SKU Description,Purchased SKU Number,SPA Sales_y,Transaction Type,index_y,Purchased OMSID
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",0,2025-09-29,143,370662,3378,,,,,"Veter 56 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",318938264,883470,CARRO,,,0.0,0,318938264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",6,2025-09-29,217,370662,3378,,,,,"Trendsetter 52 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",319130201,883470,CARRO,60.2327104723,293.3333,4.87,23,319130201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",14,2025-09-29,1197,370662,3378,,,,,"Aspen 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",317838468,883470,CARRO,,,12.9,44,317838468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",30,2025-09-28,1632,370662,3378,,,,,"Aspen 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",317838468,883470,CARRO,,,27.61,87,317838468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",2,2025-09-28,161,370662,3378,,,,,"Veter 56 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",318938264,883470,CARRO,,,1.72,106,318938264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",6,2025-09-28,249,370662,3378,,,,,"Trendsetter 52 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",319130201,883470,CARRO,,,3.25,115,319130201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",2,2025-09-27,119,370662,3378,,,,,"Veter 56 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",318938264,883470,CARRO,,,1.3,163,318938264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",19,2025-09-27,1224,370662,3378,,,,,"Aspen 52 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",317838468,883470,CARRO,,,17.25,182,317838468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",5,2025-09-27,241,370662,3378,,,,,"Trendsetter 52 in. Dimmable LED Indoor/Outdoor White Smart Ceiling Fan with Light and Remote, Works w/Alexa/Google Home",319130201,883470,CARRO,,,3.57,205,319130201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 01, 2026","Feb 21, 2025",ONSITE,PLA,19602.04,54704,"HS523Q-L12-W1-1+S525J1-L11-B5-1+HS563B3-L22-B5-1($1.05/$110)022125（Del HS525E2-L11-B2-1G,$90,081925)",0,2025-09-26,87,370662,3378,,,,,"Veter 56 in. Dimmable LED Indoor/Outdoor Black Smart Ceiling Fan with Light and Remote, Works with Alexa/Google Home",318938264,883470,CARRO,,,0.0,236,318938264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
